Discipline,Module
ADCO,Destiny (US Labratory)
ADCO,Z1 Truss
CATO,P1 Truss
CATO,S1 Truss
CATO,S3 Truss
CATO,Destiny (US Labratory)
CATO,Z1 Truss
CDH,Quest (Joint Airlock)
CDH,Unity (Node 1)
CDH,Harmony (Node 2)
CDH,P1 Truss
CDH,P4 Truss
CDH,P6 Truss
CDH,S0 Truss
CDH,S1 Truss
CDH,S3 Truss
CDH,S4 Truss
CDH,S6 Truss
CDH,Destiny (US Labratory)
CSA,Mobile Base System
CSA,Mobile Transporter
CSA,Dextre (SPDM)
CSA,Canadarm2 (SSRMS)
ETHOS,Quest (Joint Airlock)
ETHOS,Harmony (Node 2)
ETHOS,Destiny (US Labratory)
EVA,Quest (Joint Airlock)
ODIN,Destiny (US Labratory)
ROS,Zvezda (Service Module)
ROS,Zarya (FGB)
ROS,RS Node (Prichal)
ROS,Rassvet (MRM-1)
ROS,Poisk (MRM-2)
ROS,Zvezda (Service Module)
SPARTAN,P1 Truss
SPARTAN,P4 Truss
SPARTAN,P6 Truss
SPARTAN,S0 Truss
SPARTAN,S1 Truss
SPARTAN,S4 Truss
SPARTAN,S6 Truss
TOPO,Destiny (US Labratory)
VVO,S0 Truss
VVO,S1 Truss
VVO,Destiny (US Labratory)
